k01,k02,k03,k04,k05,k06,k07,k08,k09,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,"kelas"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,"C1"
tidak,tidak,ya,tidak,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,"C"
ya,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,ya,ya,ya,ya,ya,ya,ya,ya,"C1"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,ya,ya,ya,tidak,"C1"
tidak,tidak,ya,ya,tidak,ya,ya,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,"C"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,"C1"
tidak,tidak,ya,tidak,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,"C"
ya,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,ya,ya,ya,ya,ya,ya,ya,ya,"C1"
ya,tidak,ya,tidak,tidak,tidak,tidak,ya,tidak,ya,tidak,ya,tidak,ya,ya,tidak,ya,ya,ya,ya,"C1"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,ya,ya,ya,ya,ya,ya,ya,"C1"
tidak,ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,"C"
tidak,ya,ya,ya,ya,ya,ya,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,"C"
tidak,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,ya,ya,ya,tidak,tidak,tidak,tidak,"C1"
tidak,tidak,ya,ya,tidak,tidak,tidak,ya,tidak,ya,tidak,tidak,tidak,tidak,tidak,ya,ya,tidak,tidak,tidak,"C1"
tidak,tidak,ya,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,"C1"
tidak,tidak,ya,ya,tidak,tidak,tidak,ya,tidak,ya,tidak,tidak,tidak,tidak,tidak,ya,ya,tidak,tidak,tidak,"C"
ya,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,ya,ya,ya,ya,ya,ya,ya,ya,"C1"
tidak,tidak,tidak,ya,ya,ya,tidak,ya,tidak,tidak,tidak,ya,ya,tidak,tidak,tidak,tidak,tidak,ya,tidak,"C1"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,ya,ya,ya,ya,ya,ya,ya,"C1"
tidak,ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,"C"
tidak,ya,ya,ya,ya,ya,ya,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,"C"
tidak,tidak,ya,ya,tidak,ya,ya,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,"C"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,"C1"
tidak,tidak,ya,ya,tidak,ya,ya,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,"C"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,"C1"
tidak,tidak,ya,ya,tidak,ya,ya,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,"C"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,"C1"
tidak,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,ya,ya,ya,tidak,tidak,tidak,tidak,"C"
ya,tidak,ya,tidak,tidak,tidak,tidak,ya,tidak,ya,tidak,ya,tidak,ya,ya,tidak,ya,ya,ya,ya,"C"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,ya,ya,ya,ya,ya,ya,ya,"C1"
tidak,ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,"C"
tidak,ya,ya,ya,ya,ya,ya,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,"C"
tidak,ya,tidak,ya,tidak,ya,tidak,ya,tidak,ya,tidak,tidak,ya,tidak,ya,tidak,ya,tidak,ya,tidak,"C1"
tidak,tidak,ya,ya,tidak,ya,ya,ya,ya,ya,tidak,tidak,ya,tidak,tidak,tidak,ya,tidak,tidak,tidak,"C"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,"C1"
tidak,tidak,ya,tidak,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,"C"
ya,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,ya,ya,ya,ya,ya,ya,ya,ya,"C"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,"C1"
tidak,tidak,ya,ya,tidak,ya,ya,ya,ya,ya,tidak,tidak,ya,tidak,tidak,tidak,ya,tidak,tidak,tidak,"C"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,"C1"
tidak,tidak,ya,tidak,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,"C"
ya,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,ya,ya,ya,ya,ya,ya,ya,ya,"C1"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,"C1"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,ya,ya,ya,ya,ya,ya,ya,"C1"
tidak,ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,"C"
tidak,ya,ya,ya,ya,ya,ya,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,"C"
tidak,ya,tidak,ya,tidak,ya,tidak,ya,tidak,ya,tidak,tidak,ya,tidak,ya,tidak,ya,tidak,ya,tidak,"C"
tidak,tidak,ya,ya,tidak,ya,ya,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,"C"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,"C1"
tidak,tidak,ya,tidak,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,"C"
ya,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,ya,ya,ya,ya,ya,ya,ya,ya,"C1"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,ya,ya,ya,ya,ya,tidak,ya,tidak,"C1"
tidak,tidak,ya,ya,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,"C"
tidak,ya,ya,ya,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,"C"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,ya,ya,ya,tidak,ya,tidak,ya,tidak,"C1"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,"C1"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,ya,ya,ya,ya,ya,ya,tidak,tidak,tidak,"C1"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,ya,ya,ya,ya,ya,tidak,ya,tidak,tidak,ya,"C1"
tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,tidak,ya,ya,ya,tidak,ya,tidak,ya,tidak,"C1"
